Name,Address,Phone,ContactName,EmailAddress,Website,Details,Services,AgeRequirements,OperationTime
Andalusia Adult Activity Center,401 Walker AvenueAndalusia AL 36420,(334) 222-6891,Sonja Godwin,Sonja.Godwin@cityofandalusia.com,https://cityofandalusia.com/,The Adult Activity Center is a public facility provided by the City of Andalusia to meet the recreational needs of adults ages 21 and older. The Center provides a wide variety of leisure services activities and special events to improve the quality of life for our area. We place a high priority on recreation for senior adults. Our Motto is Something for everyone! If you are looking for travel excitement fun relaxation instructional educational health fitness arts and crafts classes we offer it all. All our programs and activities are very affordable and many are free. The Adult Activity Center is a great place to spice up your life and make new friends. If you would like to receive our free newsletter contact us by phone or e-mail. Our friendly staff awaits the opportunity to serve you. The Andalusia Senior Nutrition Center provides nutrition socialization educational and supportive services for senior adults in Andalusia and surrounding areas. This senior adult program is specifically designed for individuals 60 years and older with no income restrictions. Monday through Friday our friendly staff serve hot lunches in the Center's dining room and delivers meals to the homebound. We also offer fun activities like Field Trips Card Games Exercise Bingo Sewing Classes and Theme Parties (Boiled Peanuts Grandparents Day Valentines Dance Thanksgiving Christmas and many others).,,Hot Meals; Home Delivered Meals; Dominoes; Square Dancing; Quilters; Sew - Knit - Crochet; Take Off Pounds Sensibly; Oil Painting; 50 + Exercise Class; Card Games - Canasta Bid Whist Bridge Rummikub Rook; Ceramics; Toning Beds,21+ years,Mon - Fri: 7:30 am - 4:00 pm
Good Springs Activity Center,33634 Highway 99Anderson AL 35610,(256) 232-0813,Rhonda Long,NOMAIL,http://www.limestonecounty-al.gov,Open for activities for all seniors from 8:00 A.M. till Noon Monday Tuesday and Thursday,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon Tues Thurs: 8:00 am - 12:00 pm
Anniston Senior Citizen &amp; Therapeutic Recreation Center,980 Littlebrandt DriveAnniston AL 36205,(256) 241-2679,Bernadette Burroughs,NOMAIL,http://www.annistonal.gov,,,,,Mon - Fri: 8:00 am - 4:00 pm
Arab Senior Center,800 North Main StreetArab AL 35016,(256) 586-6960,Cynthia Cruise,ccruise@arabcity.org,http://www.arabcity.org,The Arab Senior Center is a 17000 square foot facility that provides activities and learning experiences for our most respected and valued senior citizens. Amenities included at the facility include a large ballroom complete with a stage and a state of the art multimedia audio-visual system. In addition to the ballroom the center sports the following specialty areas: quilting ceramics billiards exercise computer and game rooms along with a complete commercial kitchen and a library/reading room. The Arab Senior Center and its various programs provide a safe clean and enjoyable place for fellowship for senior members of our community. The Center offers a friendly fun atmosphere where our seniors enjoy a hot lunch line dancing lessons exercise and gospel singing on Tuesdays and Thursdays. We celebrate birthdays of members one day each month. Other activities include Bingo with prizes board &amp; card games movies with popcorn shuffleboard special speakers and entertainment health checks quilting exercise equipment computers and much more. Besides these activities the center offers assistance in many ways such as reading complex mail or documents assisting in grocery shopping plus making and keeping appointments for the hair dresser doctor etc. as long as these places are inside the city limits. Access to these activities and services is accommodated through our bus transportation for members who are unable to drive. Participants are brought to the site in the morning and are returned home each afternoon. In between times the bus drivers deliver lunches to the home-bound Arab City residents requiring assistance. Some of our most popular activities revolve around day trips scheduled to various locations.,,Hot Lunch; Line Dancing Lessons; Exercise; Gospel Singing; Bingo with prizes; Board &amp; Card Games; Movies with popcorn shuffleboard; Special Speakers and Entertainment; Health Checks; Quilting; Exercise Equipment; Computers; Transportation etc,55+ years,Mon - Fri: 7:30 am - 4:30 pm
New Canaan Senior Center,2506 U.S. Highway 231 SouthArab AL 35016,(256) 734-1241,Mary Martin,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Tues: 8:00 am - 1:00 pm
Ardmore Activity Center,29920 Park AvenueArdmore AL 35739,(256) 423-2099,Shirley Mitchell,ardmoreseniorcenter@outlook.com,http://www.ardmoreseniorcenter.com/,If you're at least 60 years of age or older love to have fun and socialize with others come join us here at the Ardmore Senior Center.,,Dominoes; Aggravation; Rook; Rummy; Phase 10; Checkers; Exercise and Exercise Equipment; Walking Track; Corn-Hole; Putting Jigsaw Puzzles Together; Transportation,60+ years,Mon - Fri: 7:00 am - 12:00 pm
Ashford Senior Center,409 North Co Rd 33Ashford AL 36312,(334) 899-5716,Mayrene Granger,NOMAIL,http://www.cityofashford.com,Our Center is open Monday - Friday 7:00 a.m. – 2:00 p.m. If you would like to participate in the activities at the center you must be 60 years of age or older or have a spouse that is 60 years of age or older. We also allow children with disabilities that live at home with the of age parent(s) to attend the center.,,Hot Meals; Home Delivered Meals; Bingo; Rummikub; Grocery Store Runs; Gospel Sings; Wal-mart Trips; Dollar Tree Trips,60+ years,Mon - Fri: 7:00 am - 2:00 pm
Ashland Senior Center,45 2nd Ave. NorthAshland AL 36251,(256) 354-3229,Scotty Parker,NOMAIL,https://www.cityofashlandal.com/,Our Senior Center runs through the East Alabama Regional Planning and Development Commision. Meals are delivered for those seniors citizens who are home bound. For those senior citzens who like to getting out and about they are welcomed to enjoy a meal while playing games and fellowshiping with others.,,,,
Athens Senior Center,912 West Pryor StreetAthens AL 35611,(256) 233-6412,Regina Pierce Emerson,NOMAIL,http://www.limestonecounty-al.gov,Senior Center hosts daily activities for seniors from 8:00 A.M. till 2:00 PM Monday through Friday. Hot lunchtime meals frozen meals and Meals on Wheels come from this location,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 2:00 pm
East Limestone Senior Center,25820 Nick Davis RdAthens AL 35613,(256) 230-2829,Johnny Smith,NOMAIL,http://www.limestonecounty-al.gov,Senior Center hosts daily activities for seniors from 8:30 a.m. till 2:30 p.m. Monday through Friday,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:30 am - 2:30 pm
Owens Senior Center,20111 Highway 99Athens AL 35611,(256) 230-2753,Tracy McConnell,NOMAIL,http://www.limestonecounty-al.gov,Senior Center hosts daily activities for seniors from 8:00 A.M. till Noon Monday through Friday. Hot lunchtime meals and Meals on Wheels come from this location,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Poarch Creek Indians Senior Center,5811 Jack Springs RoadAtmore AL 36502,(251) 368-9136,Kay Barnhill Gattis,kgattis@pci-nsn.gov,http://pci-nsn.gov/,The Senior Services Department is all about keeping our Tribal and community seniors involved in activities that keep their minds and bodies active. Our "Seniors" are very active throughout the year and coordinate numerous fundraisers which assist them with senior trips. The seniors enjoy traveling quilting and participating in activities such as the Senior Olympics Senior Appreciation Day Tribal Council Appreciation Day and many more fun activities.,,Local and limited transportation for seniors to doctors appointments and other health and/or family services; Daily activities; Onsite and homebound lunches; Support counseling and outreach activities for community participants,55+ years,
Attalla Senior Center,102 Case Avenue S.EAttalla AL 35954,(256) 570-0202,Donna Lee,NOMAIL,"data-table",,,,,
Auburn Senior Center,410 Boykin StAuburn AL 36830,(334) 501-3247,Johnnie Dowdell,NOMAIL,http://www.lrcog.com/,Centers serve as a community focal point where an array of services and programs can be channeled to individuals who are 60 or older. The service is free but donations are accepted.,,Social Activities; Nutrition Education; Health Counseling; Consumer Education; Recreation and Exercise; Hot Meals; Information and Referral,60+ years,
Autaugaville Senior Center,2416 Dutch Bend StreetAutaugaville AL 36003,(334) 365-1449,Wanda Diskin,NOMAIL,http://www.autaugaco.org,The Department of Senior Services is located in the Governmental Building 218 North Court Street where we provide information and assistance for all senior citizens in the area. The Department encompasses four senior centers where seniors may enjoy a nutritional lunch Monday-Friday information on important senior topics socialization and many activities which will enrich the lives of seniors in the area.,,Nutritional Lunch; Information On Important Senior Topics; Socialization; Activities,60+ years,
Baileyton Senior Center,95 Fire Station RdBaileyton AL 35019,(256) 796-6447,Myra Martin,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Music; Games; Rook; Dominoes; Wii Bowling; Covered-Dish Lunch,,Thurs: 8:00 am - 1:00 pm
Bay Minette Area Senior Center,300 North Hoyle AvenueBay Minette AL 36507,(251) 580-1676,Dorothy White,NOMAIL,http://www.cityofbayminette.org,Bay Minette Area Senior Center is at 300 North Hoyle Avenue next door to the Bay Minette Police Department. Dorothy White serves as the Senior Services Coordinator at BMASC and helps to coordinate events and activities at the Center. The senior center provides a gathering place for individuals 60 years and older to come together for services and activities that support and encourage their involvement in the community.,There is no fee required to be a member,Arts &amp; Crafts; Coffee and Donuts; Dominoes; Bridge; Canasta; Excursions,60+ years,Mon - Fri: 10:00 am - 4:00 pm
Berry Senior Activity Center,30 School AveBerry AL 35546,(205) 689-4940,Misty Stepan,NOMAIL,"data-table",,,Meals; Nutrition; Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Billingsley Senior Center,1956 Church StreetBillingsley AL 36006,(205) 755-6900,Shadonna Murphy,NOMAIL,http://www.autaugaco.org,The Department of Senior Services is located in the Governmental Building 218 North Court Street where we provide information and assistance for all senior citizens in the area. The Department encompasses four senior centers where seniors may enjoy a nutritional lunch Monday-Friday information on important senior topics socialization and many activities which will enrich the lives of seniors in the area.,,Nutritional Lunch; Information On Important Senior Topics; Socialization; Activities,60+ years,
Heardmont Park Senior Activity Center,5452 Cahaba Valley RdBirmingham AL 35242,(205) 991-5742,Nancy Ledbetter,heardmontpark@hotmail.com,"data-table",Heardmont Park Senior Activity Center is located in Shelby County AL. County residents age 55 and older are welcome to participate in activities,,Lunch; Bridge; Aerobics; Zumba Gold; Bingo; Tai Chi; Rummikub; Mah Jongg; Canasta; Bible Study,55+ years,Mon - Fri: 9:00 am - 3:00 pm
JCCEO Hoopersville Senior Nutrition Center,3901 4th Street WestBirmingham AL 35207,(205) 324-1302,Grace Jones,NOMAIL,https://www.jcceo.org/,Our senior nutrition centers provide meals for seniors fellowship and activities and transportation as needed. The Older Americans Act was enacted in 1965 and is termed as the "Bill of Rights for Older Americans." The Act directs that special consideration be given to designating or developing multi-purpose senior centers as focal points. Jefferson County's Senior Gardens Program a part of the Older Americans Act came into being on March 22 1972. Services range from ioffered through local senior garden centers.,,Meals; Transportation; Information and Assistance; Legal Services; Recreation; Education; Health Screening; Wellness Programs,,
Shepherd Center East,118 84th Street NorthBirmingham AL 35206,(205) 836-3246,June Brown,juneb@positivematurity.org,https://www.positivematurity.org/,Shepherd Center East offers adults 55 and older in the Eastlake subdivision of Birmingham and surrounding areas a place to come Monday through Friday (9:00 a.m. to 2:00 p.m.) for free activities exercise and learning opportunities. Participants who are 60 and older may also be eligible for the free Nutrition Program offered through the Jefferson County Office of Senior Citizens Services and free transportation to and from the center.,,Nutrition Program; Wii bowling; Quilting; EMPower cognitive exercise program; Dance swim and exercise classes; Billiards; Computer and educational classes; Tax Preparation; Health Screenings,55+ years,Mon - Fri: 9:00 am - 2:00 pm
Blountsville Senior Center,171 Water StreetBlountsville AL 35031,(205) 429-2033,,NOMAIL,"data-table",,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Boaz Senior Center,112 South Church StreetBoaz AL 35957,(256) 593-1107,Susan Duvall,susan.duvall@cityofboaz.org,https://www.cityofboaz.org/,Mission: To provide programs services and volunteer opportunities for the enrichment of the lives of senior adults age 60 and above,,Food and Friendship; Exercise; Pool and Other Games; Line Dancing,60+ years,Mon - Wed: 7:00 am - 3:00 pm Thurs: 7:00 am - 4:00 pm Fri: 7:00 am - 2:00 pm
Brantley Senior Center,81 Maple StreetBrantley AL 36009,(334) 527-3931,,NOMAIL,"data-table",,,,,Mon - Fri: 9:00 am - 1:00 pm
Brushy Pond Senior Center,2729 County Rd 143Bremen AL 35033,(256) 287-0442,Cynthia D. Stricklin,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,Mon - Fri: 8:00 am - 1:00 pm
Cold Springs Senior Center,8821 County Road 109Bremen AL 35033,(256) 531-8352,Dale Harris,NOMAIL,http://www.cullmancoa.com,Cullman County Senior Centers are a valuable asset to each community. The Cullman County Commission and the Commission on Aging appreciates the retirees and seniors of Cullman County for helping establish this strong sense of community that we all enjoy. This fact makes these community centers a vital part of our responsibility. Stop by one and you will see arts crafts meals music and more,,Arts; Crafts; Meals; Music,,1st Tues: 8:00 am - 1:00 pm
Brent Senior &amp; Nutrition Center,10445 Hwy 5Brent AL 35034,(205) 926-3968,Cynthia Winegard,NOMAIL,http://www.cityofbrentalabama.com/,,,Hot Meals; Nutritional Seminars; Guest Speakers; Socializing; Field Trips; Community Fundraiser's,60+ years,Mon - Fri: 8:00 am - 2:00 pm
Bridgeport Senior Center,411 Alabama AvenueBridgeport AL 35740,(256) 495-3383,Peggy Coffman,NOMAIL,https://www.jccoa.com/,Monday through Friday six senior centers in Bridgeport Bryant Paint Rock Pisgah Scottsboro and Stevenson offer recreation socialization health information exercise and lunch for individuals 60 years of age or older and their spouses regardless of age.,,Recreation Socialization Health Information Exercise Lunch,60+ years,Mon - Fri
Brilliant Senior Center,194 Crook StreetBrilliant AL 35548,(256) 465-8104,Glenda Robison,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 8:30 am - 12:30 pm
New Hope Senior Center,2142 County Road 124Brundidge AL 36010,(334) 735-5433,Conzuella Banks,newhopesr@centurytel.net,https://www.coffeecounty.us/,,,Hot Meals; Home Delivered Meals; Transportation; Bingo; Dominoes; Bible Study; Crafts; Cookouts; Field Trips; Exercise Sessions; Walking Trail; Holiday Celebrations; Annual Fundraisers; Christmas Party; Dinner Cruise; Zoo Light Festival,60+ years,Mon - Fri: 8:30 am - 1:30 pm
Robert E. Barr Multipurpose Senior Center,128 Main StreetBrundidge AL 36010,(334) 735-3539,Martha Hall,NOMAIL,http://www.brundidge.org,,,,60+ years,Mon - Fri: 8:00 am - 12:30 pm
Bryant Senior Center,1315 Co. Road 262Bryant AL 35858,(256) 597-2119,Edd McKinney,NOMAIL,https://www.jccoa.com/,Monday through Friday six senior centers in Bridgeport Bryant Paint Rock Pisgah Scottsboro and Stevenson offer recreation socialization health information exercise and lunch for individuals 60 years of age or older and their spouses regardless of age.,,Recreation Socialization Health Information Exercise Lunch,60+ years,Mon - Fri
Butler-Choctaw County Senior Center,112 Tom Orr DriveButler AL 36904,(205) 459-4442,Sherman Faile,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Calera Senior Activity Center,15863A Hwy. 25 M4A BuildingCalera AL 35040,(205) 670-9988,Sandy "Bo" Robertson,brobertson@calera.org,https://www.cityofcalera.org/,The Calera Senior Activity Center offers a variety of programs and services for individuals 60 years of age and older.,,Recreation and Leisure; Nutrition Program; Health and Exercise Programs; Outings and Trips; Expressive Arts; Speakers and Education; Cards and Games; Volunteer Opportunities,60+ years,Mon - Fri: 7:30 am - 3:30 pm
Camden Senior Center,126 Co Rd 43Camden AL 36726,(334) 682-9903,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Camp Hill Senior Center,125 Henderson DriveCamp Hill AL 36850,(256) 896-2943,Louise Floyd,NOMAIL,"data-table",,,,,
Carbon Hill Senior Center,316 6th St NECarbon Hill AL 35549,(205) 924-6216,,NOMAIL,"data-table",,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Carrollton Senior Activity Center,85 Tuscaloosa AveCarrollton AL 35447,(205) 463-2139,Myra Shufflebauger,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Center Point Senior Activity Center,335 Polly Reed RdCenter Point AL 35215,(205) 854-4472,Shameika Coleman,meikadeionne@gmail.com,http://www.thecityofcenterpoint.org,The City of Center Point Senior Center is open to seniors ages 60 or better. The Senior Center is conveniently located at 335 Polly Reed Road Center Point AL 35215 in the heart of the newly renovated Reed Harvey Park. Hours of operation are Monday through Friday from 9:00am - 2:00pm. The Senior Center's purpose is to enhance the quality of life for seniors by providing opportunities for involvement in social recreational and service activities. Members are encouraged to participate in a wide variety of programs and events. Some of the activities include games classes luncheons trips as well as educational and health sessions. It is the perfect place to meet others enjoy a good cup of coffee and participate in fun activities.,There is no annual membership fee but all participants are asked to donate $1.50 each day they visit the center.,Lunch; Bingo; Zumba Dance for seniors; FitCom Exercise Class; Wii Bowling; Trivia Cards and other games; Line Dancing; A variety of speakers throughout each month on various topics; Live Band; Computer Lab; Day Trips,60+ years,Mon - Fri: 9:00 am - 2:00 pm
Chatom-Washington Senior Center,161 Granade AveChatom AL 36518,(251) 847-6386,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Chelsea Senior Adult Center,680 Hwy 36Chelsea AL 35043,(205) 678-6460,Tom Boaz,NOMAIL,http://www.cityofchelsea.com,All senior adults are invited to come the the Chelsea Community Center every Thursday from 9am - 2pm for great food fellowship and a whole lot of fun!,,,,Thurs: 9:00am - 2:00pm
Cherokee Senior Center,1249 2nd St.Cherokee AL 35616,(256) 359-4465,Kenneth Helton,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Childersburg Senior Center,65 Graves AvenueChildersburg AL 35044,(256) 378-7037,Vickie Moody,vmoody@childersburg.org,http://www.childersburg.org/,,,,,
Clanton Senior Center,500 Enterprise RoadClanton AL 35045,(205) 755-3248,,NOMAIL,"data-table",A great group of people. Sharing and caring for each other. Enjoying activities special entainment and games from home health agencies.,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Clayton Senior Center,51 North Midway StClayton AL 36016,(334) 775-3494,Annetta Dasinger,claytonsr4939@bellsouth.net,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Quilting; Dance Exercising; Singing; Shopping Trips; Bingo; Crafts; "Volunteer of the Year" Program; "Night Out" Dinner; Poetry Contest; Easter Dress Parade; Halloween Costume Day; Christmas Dinner,60+ years,Mon - Fri: 7:30 am - 2:00 pm
Clio Senior Center,21 College StreetClio AL 36017,(334) 397-2586,Kathy Bragg,clioseniorcenter@centurylink.net,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Quilting; Embroidery; Crafts; Games; Group Sings; Field Trips; Health Fairs; Guest Speakers; Fellowship; Candy Sale; Chitlin Jamboree; Christmas Party,60+ years,Mon - Fri: 8:00 am - 3:00 pm
Coffee Springs Senior Center,195 Spring StCoffee Springs AL 36318,(334) 684-9876,JoEllen Simmons,coffeespringssc@centurytel.net,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Quilting; Games; Bingo; Dominoes; Exercise Equipment; Blood Pressure Checks; Group Singing; Guest Speakers; Sacred Harp Singers; Valentine Party King and Queen; Covered Dish Dinners; Veteran's Day Recognition Program; Fall Festival; Health Screenings,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Coffeeville Senior Center,37 Legion StCoffeeville AL 36524,(251) 276-3411,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Collinsville Senior Center,103 Truman AvenueCollinsville AL 35961,(256) 524-2550,Elizabeth Jackson,NOMAIL,"data-table",,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,
Columbia Senior Center,301 S. Main StColumbia AL 36319,(334) 696-4529,Cheryl Holland,columbiacenter2016@outlook.com,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Card Games; Puzzles; Exercising; Covered Dish Suppers; Eat Outs; Field Trips; Devotional Speakers; Outside Speakers; Bake Sale; Fish Fry; Halloween Costume Party; Thanksgiving Luncheon; Christmas Luncheon; St. Patrick's Party; Valentine Party,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Haleburg Senior Center,10347 George Grimsley HwyColumbia AL 36319,(334) 696-2248,,NOMAIL,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Bingo; Crafts; Exercise; Quilting; Field Trips; Eat-Outs; Fish Fry,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Columbiana Senior Center,110 Mildred StreetColumbiana AL 35051,(205) 669-3969,Ali Payne,apayne@cityofcolumbiana.com,https://cityofcolumbiana.com/,The Columbiana Senior Center offers a range of activities and services for individuals 55 years old or older who live in Columbiana or in Shelby County. Membership is free but there are fees associated with some activities and programs.,Membership is free but there are fees associated with some activities and programs.,Bingo; Blood Pressure checks; Card Games; Mahjong; Mexican Train Dominoes; Monthly Pot Luck Supper; Trips; Line Dancing; Tai Chi; Yoga; Meals on Wheels; Congregate Meals; Sewing and Quilting,55+ years,Mon - Thurs: 8:00 am - 4:00 pm; Fri: 8:00 am - 2:00 pm
Cordova Senior Center,3885 Massachusetts Ave.Cordova AL 35550,(205) 483-6384,,NOMAIL,"data-table",,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
